sentence,translated,gematria_sum
ᚹᚻᛖᚾ-ᚦᛖ-ᚳᛚᚩᚢᛞ-ᛒᛚᚪᛋᛖᛋ-ᚩᚢᛖᚱ-ᚦᛖ-ᚻᚪᚱᚢᛖᛋᛏᛋ,WHEN THE KLOUD BLASES OUER THE HARUESTS,1325
ᛠᚱᚦ-ᚹᚪᛋ-ᚾᚩᛏ-ᚾᚩᚱ-ᚷᛚᚩᛒᛖᛋ-ᚩᚠ-ᚪᛏᛏᚱᚪᚳᛏᛡᚾ,EARTH WAS NOT NOR GLOBES OF ATTRAKTIAN,1254
ᚦᛖ-ᚹᛁᛚᛚ-ᚩᚠ-ᚦᛖ-ᛁᛗᛗᚩᚱᛏᚪᛚ-ᛖᛉᛈᚪᚾᛞᛖᛞ,THE WILL OF THE IMMORTAL EXPANDED,1297
ᚩᚱ-ᚳᚩᚾᛏᚱᚪᚳᛏᛖᛞ-ᚻᛁᛋ-ᚪᛚᛚ-ᚠᛚᛖᛉᛁᛒᛚᛖ-ᛋᛖᚾᛋᛖᛋ,OR KONTRAKTED HIS ALL FLEXIBLE SENSES,1555
ᛞᛠᚦ-ᚹᚪᛋ-ᚾᚩᛏ-ᛒᚢᛏ-ᛖᛏᛖᚱᚾᚪᛚ-ᛚᛁᚠᛖ-ᛋᛈᚱᚢᛝ,DEATH WAS NOT BUT ETERNAL LIFE SPRUING,1355
ᚦᛖ-ᛋᚩᚢᚾᛞ-ᚩᚠ-ᚪ-ᛏᚱᚢᛗᛈᛖᛏ-ᚦᛖ-ᚻᛠᚢᛖᚾᛋ,THE SOUND OF A TRUMPET THE HEAUENS,1028
ᚪᚹᚩᚳᛖ-ᚪᚾᛞ-ᚢᚪᛋᛏ-ᚳᛚᚩᚢᛞᛋ-ᚩᚠ-ᛒᛚᚩᚩᛞ-ᚱᚩᛚᛚᛞ,AWOKE AND UAST KLOUDS OF BLOOD ROLLD,1367
ᚱᚩᚢᚾᛞ-ᚦᛖ-ᛞᛁᛗ-ᚱᚩᚳᚳᛋ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ-ᛋᚩ-ᚾᚪᛗᛞ,ROUND THE DIM ROKKS OF URISEN SO NAMD,1048
ᚦᚪᛏ-ᛋᚩᛚᛁᛏᚪᚱᚣ-ᚩᚾᛖ-ᛁᚾ-ᛁᛗᛗᛖᚾᛋᛁᛏᚣ,THAT SOLITARY ONE IN IMMENSITY,1273
ᛋᚻᚱᛁᛚᛚ-ᚦᛖ-ᛏᚱᚢᛗᛈᛖᛏ-ᚪᚾᛞ-ᛗᚣᚱᛡᛞᛋ-ᚩᚠ-ᛖᛏᛖᚱᚾᛁᛏᚣ,SHRILL THE TRUMPET AND MYRIADS OF ETERNITY,1733
ᛗᚢᛋᛏᛖᚱ-ᚪᚱᚩᚢᚾᛞ-ᚦᛖ-ᛒᛚᛠᚳ-ᛞᛖᛋᚪᚱᛏᛋ,MUSTER AROUND THE BLEAK DESARTS,1257
ᚾᚩᚹ-ᚠᛁᛚᛚᛞ-ᚹᛁᚦ-ᚳᛚᚩᚢᛞᛋ-ᛞᚪᚱᚳᚾᛖᛋᛋ-ᚪᚾᛞ-ᚹᚪᛏᛖᚱᛋ,NOW FILLD WITH KLOUDS DARKNESS AND WATERS,1549
ᚦᚪᛏ-ᚱᚩᛚᛚᛞ-ᛈᛖᚱᛈᛚᛖᛉᛞ-ᛚᚪᛒᚱᛝ-ᚪᚾᛞ-ᚢᛏᛏᛖᚱᛞ,THAT ROLLD PERPLEXD LABRING AND UTTERD,1678
ᚹᚩᚱᛞᛋ-ᚪᚱᛏᛁᚳᚢᛚᚪᛏᛖ-ᛒᚢᚱᛋᛏᛝ-ᛁᚾ-ᚦᚢᚾᛞᛖᚱᛋ,WORDS ARTIKULATE BURSTING IN THUNDERS,1272
ᚦᚪᛏ-ᚱᚩᛚᛚᛞ-ᚩᚾ-ᚦᛖ-ᛏᚩᛈᛋ-ᚩᚠ-ᚻᛁᛋ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ,THAT ROLLD ON THE TOPS OF HIS MOUNTAINS,1179
ᚠᚱᚩᛗ-ᚦᛖ-ᛞᛖᛈᚦᛋ-ᚩᚠ-ᛞᚪᚱᚳ-ᛋᚩᛚᛁᛏᚢᛞᛖ-ᚠᚱᚩᛗ,FROM THE DEPTHS OF DARK SOLITUDE FROM,1112
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᚪᛒᚩᛞᛖ-ᛁᚾ-ᛗᚣ-ᚻᚩᛚᛁᚾᛖᛋᛋ,THE ETERNAL ABODE IN MY HOLINESS,1366
ᚻᛁᛞᛞᛖᚾ-ᛋᛖᛏ-ᚪᛈᚪᚱᛏ-ᛁᚾ-ᛗᚣ-ᛋᛏᛖᚱᚾ-ᚳᚩᚢᚾᛋᛖᛚᛋ,HIDDEN SET APART IN MY STERN KOUNSELS,1565
ᚱᛖᛋᛖᚱᚢᛞ-ᚠᚩᚱ-ᚦᛖ-ᛞᚪᚣᛋ-ᚩᚠ-ᚠᚢᛏᚢᚱᛁᛏᚣ,RESERUD FOR THE DAYS OF FUTURITY,1015
ᛁ-ᚻᚪᚢᛖ-ᛋᚩᚢᚷᚻᛏ-ᚠᚩᚱ-ᚪ-ᛄᚩᚣ-ᚹᛁᚦᚩᚢᛏ-ᛈᚪᛁᚾ,I HAUE SOUGHT FOR A JOY WITHOUT PAIN,971
ᚠᚩᚱ-ᚪ-ᛋᚩᛚᛁᛞ-ᚹᛁᚦᚩᚢᛏ-ᚠᛚᚢᚳᛏᚢᚪᛏᛡᚾ,FOR A SOLID WITHOUT FLUKTUATIAN,939
ᚹᚻᚣ-ᚹᛁᛚᛚ-ᚣᚩᚢ-ᛞᛁᛖ-ᚩ-ᛖᛏᛖᚱᚾᚪᛚᛋ,WHY WILL YOU DIE O ETERNALS,1104
ᚹᚻᚣ-ᛚᛁᚢᛖ-ᛁᚾ-ᚢᚾᚢᛖᚾᚳᚻᚪᛒᛚᛖ-ᛒᚢᚱᚾᛝᛋ,WHY LIUE IN UNUENKHABLE BURNINGS,1080
ᚠᛁᚱᛋᛏ-ᛁ-ᚠᚩᚢᚷᚻᛏ-ᚹᛁᚦ-ᚦᛖ-ᚠᛁᚱᛖ-ᚳᚩᚾᛋᚢᛗᛞ,FIRST I FOUGHT WITH THE FIRE KONSUMD,801
ᛁᚾᚹᚪᚱᛞᛋ-ᛁᚾᛏᚩ-ᚪ-ᛞᛖᛖᛈ-ᚹᚩᚱᛚᛞ-ᚹᛁᚦᛁᚾ,INWARDS INTO A DEEP WORLD WITHIN,1132
ᚪ-ᚢᚩᛁᛞ-ᛁᛗᛗᛖᚾᛋᛖ-ᚹᛁᛚᛞ-ᛞᚪᚱᚳ-ᚪᚾᛞ-ᛞᛖᛖᛈ,A UOID IMMENSE WILD DARK AND DEEP,1519
ᚹᚻᛖᚱᛖ-ᚾᚩᚦᛝ-ᚹᚪᛋ-ᚾᚪᛏᚢᚱᛖᛋ-ᚹᛁᛞᛖ-ᚹᚩᛗᛒ,WHERE NOTHING WAS NATURES WIDE WOMB,1159
ᚪᚾᛞ-ᛋᛖᛚᚠ-ᛒᚪᛚᚪᚾᚳᛞ-ᛋᛏᚱᛖᛏᚳᚻᛞ-ᛟᚱ-ᚦᛖ-ᚢᚩᛁᛞ,AND SELF BALANKD STRETKHD OER THE UOID,1539
ᛁ-ᚪᛚᚩᚾᛖ-ᛖᚢᛖᚾ-ᛁ-ᚦᛖ-ᚹᛁᚾᛞᛋ-ᛗᛖᚱᚳᛁᛚᛖᛋᛋ,I ALONE EUEN I THE WINDS MERKILESS,1233
ᛒᚩᚢᚾᛞ-ᛒᚢᛏ-ᚳᚩᚾᛞᛖᚾᛋᛝ-ᛁᚾ-ᛏᚩᚱᚱᛖᚾᛏᛋ,BOUND BUT KONDENSING IN TORRENTS,1034
ᚦᛖᚣ-ᚠᚪᛚᛚ-ᚪᚾᛞ-ᚠᚪᛚᛚ-ᛋᛏᚱᚩᛝ-ᛁ-ᚱᛖᛈᛖᛚᛚᛞ,THEY FALL AND FALL STROING I REPELLD,1543
ᚦᛖ-ᚢᚪᛋᛏ-ᚹᚪᚢᛖᛋ-ᚪᚾᛞ-ᚪᚱᚩᛋᛖ-ᚩᚾ-ᚦᛖ-ᚹᚪᛏᛖᚱᛋ,THE UAST WAUES AND AROSE ON THE WATERS,1387
ᚪ-ᚹᛁᛞᛖ-ᚹᚩᚱᛚᛞ-ᚩᚠ-ᛋᚩᛚᛁᛞ-ᚩᛒᛋᛏᚱᚢᚳᛏᛡᚾ,A WIDE WORLD OF SOLID OBSTRUKTIAN,1166
ᚻᛖᚱᛖ-ᚪᛚᚩᚾᛖ-ᛁ-ᛁᚾ-ᛒᚩᚩᚳᛋ-ᚠᚩᚱᛗᛞ-ᚩᚠ-ᛗᛖᛏᚪᛚᛋ,HERE ALONE I IN BOOKS FORMD OF METALS,1282
ᚻᚪᚢᛖ-ᚹᚱᛁᛏᛏᛖᚾ-ᚦᛖ-ᛋᛖᚳᚱᛖᛏᛋ-ᚩᚠ-ᚹᛁᛋᛞᚩᛗ,HAUE WRITTEN THE SEKRETS OF WISDOM,1139
ᚦᛖ-ᛋᛖᚳᚱᛖᛏᛋ-ᚩᚠ-ᛞᚪᚱᚳ-ᚳᚩᚾᛏᛖᛗᛈᛚᚪᛏᛡᚾ,THE SEKRETS OF DARK KONTEMPLATIAN,1268
ᛒᚣ-ᚠᛁᚷᚻᛏᛝᛋ-ᚪᚾᛞ-ᚳᚩᚾᚠᛚᛁᚳᛏᛋ-ᛞᛁᚱᛖ,BY FIGHTINGS AND KONFLIKTS DIRE,1121
ᚹᛁᚦ-ᛏᛖᚱᚱᛁᛒᛚᛖ-ᛗᚩᚾᛋᛏᛖᚱᛋ-ᛋᛁᚾ-ᛒᚱᛖᛞ,WITH TERRIBLE MONSTERS SIN BRED,1126
ᚹᚻᛁᚳᚻ-ᚦᛖ-ᛒᚩᛋᚩᛗᛋ-ᚩᚠ-ᚪᛚᛚ-ᛁᚾᚻᚪᛒᛁᛏ,WHIKH THE BOSOMS OF ALL INHABIT,1016
ᛋᛖᚢᛖᚾ-ᛞᛠᛞᛚᚣ-ᛋᛁᚾᛋ-ᚩᚠ-ᚦᛖ-ᛋᚩᚢᛚ,SEUEN DEADLY SINS OF THE SOUL,1065
ᛚᚩ-ᛁ-ᚢᚾᚠᚩᛚᛞ-ᛗᚣ-ᛞᚪᚱᚳᚾᛖᛋᛋ-ᚪᚾᛞ-ᚩᚾ,LO I UNFOLD MY DARKNESS AND ON,1151
ᚦᛁᛋ-ᚱᚩᚳᚳ-ᛈᛚᚪᚳᛖ-ᚹᛁᚦ-ᛋᛏᚱᚩᛝ-ᚻᚪᚾᛞ-ᚦᛖ-ᛒᚩᚩᚳ,THIS ROKK PLAKE WITH STROING HAND THE BOOK,1088
ᚩᚠ-ᛖᛏᛖᚱᚾᚪᛚ-ᛒᚱᚪᛋᛋ-ᚹᚱᛁᛏᛏᛖᚾ-ᛁᚾ-ᛗᚣ-ᛋᚩᛚᛁᛏᚢᛞᛖ,OF ETERNAL BRASS WRITTEN IN MY SOLITUDE,1578
ᛚᚪᚹᛋ-ᚩᚠ-ᛈᛠᚳᛖ-ᚩᚠ-ᛚᚩᚢᛖ-ᚩᚠ-ᚢᚾᛁᛏᚣ,LAWS OF PEAKE OF LOUE OF UNITY,876
ᚩᚠ-ᛈᛁᛏᚣ-ᚳᚩᛗᛈᚪᛋᛋᛡᚾ-ᚠᚩᚱᚷᛁᚢᛖᚾᛖᛋᛋ,OF PITY KOMPASSIAN FORGIUENESS,1058
ᛚᛖᛏ-ᛠᚳᚻ-ᚳᚻᚢᛋᛖ-ᚩᚾᛖ-ᚻᚪᛒᛁᛏᚪᛏᛡᚾ,LET EAKH KHUSE ONE HABITATIAN,1169
ᚻᛁᛋ-ᚪᚾᚳᛁᛖᚾᛏ-ᛁᚾᚠᛁᚾᛁᛏᛖ-ᛗᚪᚾᛋᛡᚾ,HIS ANKIENT INFINITE MANSIAN,1097
ᚩᚾᛖ-ᚳᚩᛗᛗᚪᚾᛞ-ᚩᚾᛖ-ᛄᚩᚣ-ᚩᚾᛖ-ᛞᛖᛋᛁᚱᛖ,ONE KOMMAND ONE JOY ONE DESIRE,1151
ᚩᚾᛖ-ᚳᚢᚱᛋᛖ-ᚩᚾᛖ-ᚹᛖᛁᚷᚻᛏ-ᚩᚾᛖ-ᛗᛠᛋᚢᚱᛖ,ONE KURSE ONE WEIGHT ONE MEASURE,986
ᚩᚾᛖ-ᚳᛝ-ᚩᚾᛖ-ᚷᚩᛞ-ᚩᚾᛖ-ᛚᚪᚹ,ONE KING ONE GOD ONE LAW,703
ᚦᛖ-ᚢᚩᛁᚳᛖ-ᛖᚾᛞᛖᛞ-ᚦᛖᚣ-ᛋᚪᚹ-ᚻᛁᛋ-ᛈᚪᛚᛖ-ᚢᛁᛋᚪᚷᛖ,THE UOIKE ENDED THEY SAW HIS PALE UISAGE,1533
ᛖᛗᛖᚱᚷᛖ-ᚠᚱᚩᛗ-ᚦᛖ-ᛞᚪᚱᚳᚾᛖᛋᛋ-ᚻᛁᛋ-ᚻᚪᚾᛞ,EMERGE FROM THE DARKNESS HIS HAND,1220
ᚩᚾ-ᚦᛖ-ᚱᚩᚳᚳ-ᚩᚠ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᚢᚾᚳᛚᚪᛋᛈᛝ,ON THE ROKK OF ETERNITY UNKLASPING,977
ᚦᛖ-ᛒᚩᚩᚳ-ᚩᚠ-ᛒᚱᚪᛋᛋ-ᚱᚪᚷᛖ-ᛋᛁᛖᛋᛞ-ᚦᛖ-ᛋᛏᚱᚩᛝ,THE BOOK OF BRASS RAGE SIESD THE STROING,1210
ᚱᚪᚷᛖ-ᚠᚢᚱᚣ-ᛁᚾᛏᛖᚾᛋᛖ-ᛁᚾᛞᛁᚷᚾᚪᛏᛡᚾ,RAGE FURY INTENSE INDIGNATIAN,1164
ᛁᚾ-ᚳᚪᛏᚪᚱᚪᚳᛏᛋ-ᚩᚠ-ᚠᛁᚱᛖ-ᛒᛚᚩᚩᛞ-ᚪᚾᛞ-ᚷᚪᛚᛚ,IN KATARAKTS OF FIRE BLOOD AND GALL,1391
ᛁᚾ-ᚹᚻᛁᚱᛚᚹᛁᚾᛞᛋ-ᚩᚠ-ᛋᚢᛚᛈᚻᚢᚱᚩᚢᛋ-ᛋᛗᚩᚳᛖ,IN WHIRLWINDS OF SULPHUROUS SMOKE,930
ᚪᚾᛞ-ᛖᚾᚩᚱᛗᚩᚢᛋ-ᚠᚩᚱᛗᛋ-ᚩᚠ-ᛖᚾᛖᚱᚷᚣ,AND ENORMOUS FORMS OF ENERGY,910
ᚪᛚᛚ-ᚦᛖ-ᛋᛖᚢᛖᚾ-ᛞᛠᛞᛚᚣ-ᛋᛁᚾᛋ-ᚩᚠ-ᚦᛖ-ᛋᚩᚢᛚ,ALL THE SEUEN DEADLY SINS OF THE SOUL,1380
ᛁᚾ-ᛚᛁᚢᛝ-ᚳᚱᛠᛏᛡᚾᛋ-ᚪᛈᛈᛠᚱᛞ,IN LIUING KREATIANS APPEARD,1019
ᛁᚾ-ᚦᛖ-ᚠᛚᚪᛗᛖᛋ-ᚩᚠ-ᛖᛏᛖᚱᚾᚪᛚ-ᚠᚢᚱᚣ,IN THE FLAMES OF ETERNAL FURY,1026
ᛋᚢᚾᛞᚱᛝ-ᛞᚪᚱᚳᚾᛝ-ᚦᚢᚾᛞᚱᛝ,SUNDRING DARKNING THUNDRING,798
ᚱᛖᚾᛏ-ᚪᚹᚪᚣ-ᚹᛁᚦ-ᚪ-ᛏᛖᚱᚱᛁᛒᛚᛖ-ᚳᚱᚪᛋᚻ,RENT AWAY WITH A TERRIBLE KRASH,1211
ᛖᛏᛖᚱᚾᛁᛏᚣ-ᚱᚩᛚᛚᛞ-ᚹᛁᛞᛖ-ᚪᛈᚪᚱᛏ,ETERNITY ROLLD WIDE APART,1192
ᚹᛁᛞᛖ-ᚪᛋᚢᚾᛞᛖᚱ-ᚱᚩᛚᛚᛝ,WIDE ASUNDER ROLLING,798
ᛗᚩᚢᚾᛏᚪᛁᚾᚩᚢᛋ-ᚪᛚᛚ-ᚪᚱᚩᚢᚾᛞ,MOUNTAINOUS ALL AROUND,868
ᛞᛖᛈᚪᚱᛏᛝ-ᛞᛖᛈᚪᚱᛏᛝ-ᛞᛖᛈᚪᚱᛏᛝ,DEPARTING DEPARTING DEPARTING,1335
ᛚᛠᚢᛝ-ᚱᚢᛁᚾᚩᚢᛋ-ᚠᚱᚪᚷᛗᛖᚾᛏᛋ-ᚩᚠ-ᛚᛁᚠᛖ,LEAUING RUINOUS FRAGMENTS OF LIFE,989
ᚻᚪᛝᛝ-ᚠᚱᚩᚹᚾᛝ-ᚳᛚᛁᚠᚠᛋ-ᚪᚾᛞ-ᚪᛚᛚ-ᛒᛖᛏᚹᛖᛖᚾ,HAINGING FROWNING KLIFFS AND ALL BETWEEN,1426
