word,translated,gematria_sum
ᛋᚹᛖᛚᛚᛝ,SWELLING,364
ᚻᛠᚱᛏ,HEART,202
ᚳᚩᚾᛋᚢᛗᛞ,KONSUMD,265
ᚳᚱᛁᛖᛋ,KRIES,175
ᚻᚪᚾᛞ,HAND,238
ᚢᚩᛁᛞ,UOID,130
ᚻᚪᚱᚱᚩᚹᛝ,HARROWING,247
ᚢᚩᛁᚳᛖ,UOIKE,121
ᛋᛏᚱᛖᛏᚳᚻᛝ,STRETKHING,364
ᛋᛏᚱᛖᛝᚦ,STREINGTH,274
ᚻᚩᚹᛚᛞ,HOWLD,211
ᚦᛖᚣ,THEY,175
ᚻᚩᚹ,HOW,49
ᚱᛖᛋᛖᚱᚢᛞ,RESERUD,301
ᚱᛖᛋᛏᛚᛖᛋᛋ,RESTLESS,436
ᚱᛖᛋᛏᛖᛞ,RESTED,346
ᚻᛠᚢᚣ,HEAUY,238
ᛋᛗᚩᚳᛖ,SMOKE,211
ᛋᚩᛚᛁᛏᚢᛞᛖ,SOLITUDE,382
ᛈᚱᚩᛈᚻᛖᚳᚣ,PROPHEKY,310
ᛈᚱᚩᛚᛁᚠᛁᚳ,PROLIFIK,211
ᚠᛁᚠᚦ,FIFTH,40
ᛒᛚᛠᚳ,BLEAK,256
ᚷᛁᚾᛋ,GINS,130
ᛞᚱᛠᛗᛚᛖᛋᛋ,DREAMLESS,526
ᚩᚱᚳ,ORK,31
ᛞᚹᛖᛚᛚᛝ,DWELLING,400
ᛞᛁᚢᛁᛞᛖ,DIUIDE,310
ᚳᚪᛚᛚ,KALL,256
ᚦᚩᚢᛋᚪᚾᛞ,THOUSAND,283
ᛞᛁᛋᚳᚩᚢᛖᚱ,DISKOUER,274
ᛁ,I,31
ᛁᛗᚪᚷᛖ,IMAGE,283
ᚠᚢᛋᚩᚾ,FUSON,94
ᛞᛖᚾᛋ,DENS,238
ᛁᛋᛋᚢᛞ,ISSUD,229
ᛞᛖᛈᚪᚱᛏᛝ,DEPARTING,445
ᚷᚪᚱᛞᛖᚾ,GARDEN,310
ᚷᚪᚢᛖ,GAUE,184
ᚪᛁᚱ,AIR,139
ᛞᛖᛋᛈᚪᛁᚱ,DESPAIR,391
ᚳᚪᛋᛏᛝ,KASTING,301
ᛁᚾᚠᚪᚾᛏ,INFANT,247
ᚳᛚᚩᚢᛞᛋ,KLOUDS,238
ᚳᛚᚪᛋᚻᛝᛋ,KLASHINGS,391
ᚳᚪᛏᚪᚱᚪᚳᛏᛋ,KATARAKTS,499
ᚩᚾᛖ,ONE,103
ᛞᛠᛞᛚᚣ,DEADLY,463
ᛟᚱ,OER,94
ᛚᛁᚳᛖ,LIKE,184
ᛄᚩᛁᚾᛏᛖᛞ,JOINTED,319
ᚠᚩᚱᚷᚩᛏ,FORGOT,103
ᛖᛗᛒᚱᚪᚳᛞ,EMBRAKD,409
ᛒᛠᛏ,BEAT,229
ᚠᚱᛁᚷᚻᛏᛖᚾᛞ,FRIGHTEND,328
ᛖᚢᛖᚱ,EUER,148
ᛖᚢᛖᚾ,EUEN,166
ᛖᚱᛖᚳᛏᛖᛞ,EREKTED,373
ᚾᚪᛏᚢᚱᛖᛋ,NATURES,319
ᛖᚾᛁᚦᚪᚱᛗᚩᚾᛋ,ENITHARMONS,400
ᚳᚻᛁᛚᛞ,KHILD,229
ᛖᛉᛈᛚᚩᚱᛞ,EXPLORD,337
ᚹᚪᛏᚳᚻ,WATKH,211
ᚠᚩᚱᛗᛖᛞ,FORMED,247
ᚱᚩᚢᚾᛞ,ROUND,139
ᚳᚩᛝᛚᚩᛒᛝ,KOINGLOBING,319
ᚳᚪᚢᛖᚱᚾ,KAUERN,220
ᛋᚻᚪᛞᚩᚹᚣ,SHADOWY,391
ᛗᛁᚾᛞ,MIND,220
ᚠᚩᚱᛗᛚᛖᛋᛋ,FORMLESS,337
ᛚᚩᛁᚾᛋ,LOINS,193
ᛚᚩᛏ,LOT,139
ᛚᚪᚱᚷᛖ,LARGE,265
ᚣᛖᛏ,YET,229
ᛋᚳᚪᛚᛖᛋ,SKALES,356
ᛄᚩᚢᚱᚾᛖᚣ,JOURNEY,257
ᚦᚢᚾᛞᛖᚱᛋ,THUNDERS,257
ᛋᚩᛚᛁᛞᚾᛖᛋᛋ,SOLIDNESS,455
ᚳᚩᛗᛈᚪᛋᛋᛡᚾ,KOMPASSIAN,473
ᛈᛁᛏᛁᛖᛞ,PITIED,320
ᚢᚱᛁᛋᛖᚾ,URISEN,194
ᛁᚾᛞᛁᚷᚾᚪᛏᛡᚾ,INDIGNATIAN,518
ᛋᚻᚢᛞᛞᚱᛝ,SHUDDRING,347
ᛈᛖᛏᚱᛁᚠᛁᚳ,PETRIFIK,257
ᛁᛗᛗᚩᚱᛏᚪᛚᛋ,IMMORTALS,473
ᛁᛗᛒᚩᛞᛁᛖᛞ,IMBODIED,446
ᚢᚾᛋᛖᛖᚾ,UNSEEN,248
ᚢᚾᚠᚩᛚᛞ,UNFOLD,203
ᚣᚩᚢ,YOU,113
ᛈᛚᚪᚳᛖ,PLAKE,293
ᛈᚪᚱᚪᛚᚣᛏᛁᚳ,PARALYTIK,527
ᛋᚩᛞᚩᚱ,SODOR,167
ᛋᚩᚢᚦ,SOUTH,68
ᛋᛁᛖᛋᛞ,SIESD,293
ᛋᚻᚱᛁᚾᚳᛝ,SHRINKING,239
ᛖᚾᚩᚱᛗᚩᚢᛋ,ENORMOUS,248
ᛖᚾᛁᚦᚪᚱᛗᚩᚾ,ENITHARMON,347
ᚠᚱᚩᛋᛖ,FROSE,140
ᚪᚹᚩᚳᛖ,AWOKE,203
ᛗᚩᚪᚾᛋ,MOANS,257
ᛗᚩᛁᛋᛏ,MOIST,221
ᚠᚪᚦᚩᛗᛚᛖᛋᛋ,FATHOMLESS,428
ᛗᚪᛞ,MAD,257
ᚪᚹᚪᚳᛖ,AWAKE,293
ᛚᛁᚷᚻᛏ,LIGHT,203
ᛒᛚᚪᚳᚳ,BLAKK,257
ᛚᛁᚾᚳᛖᛞ,LINKED,302
ᛞᚪᚢᚷᚻᛏᛖᚱᛋ,DAUGHTERS,419
ᚠᚩᚢᚾᛏᚪᛁᚾ,FOUNTAIN,257
ᚪᛈᛈᛠᚱᛞ,APPEARD,392
ᛞᛁᛋᚳᛖᚱᚾ,DISKERN,293
ᛞᛁᛋᛠᛋᛖᛋ,DISEASES,455
ᛞᛖᛈᚦᛋ,DEPTHS,257
ᛞᛖᛖᛈ,DEEP,266
ᛞᛖᛚᚢᛝ,DELUING,311
ᛞᛠᚦ,DEATH,203
ᚠᚢᚱᚾᚪᚳᛖᛋ,FURNAKES,275
ᛞᚩᚷ,DOG,113
ᚳᚩᚢᛚᛞ,KOULD,185
ᚱᚩᛚᛚᛖᛞ,ROLLED,320
ᛒᚱᛠᚳ,BREAK,194
ᚢᚪᛋᛏ,UAST,212
ᛋᛁᚾ,SIN,113
ᛋᛁᛉ,SIX,131
ᛋᛁᛞᛖᛋ,SIDES,293
ᛋᛈᚱᛝᛋ,SPRINGS,239
ᚱᛖᛞ,RED,167
ᛋᛈᛁᛞᛖᚱᛋ,SPIDERS,347
ᛋᛏᚢᛈᚩᚱ,STUPOR,176
ᛋᛏᚢᛝ,STUING,194
ᛋᛏᚱᛖᛏᚳᚻᛞ,STRETKHD,374
ᛒᛖᚻᚩᛚᛞ,BEHOLD,320
ᛋᛏᛁᚠᛚᛖᛞ,STIFLED,374
ᛋᛖᛈᚪᚱᚪᛏᛡᚾ,SEPARATIAN,563
ᛋᛗᚩᛏᛖ,SMOTE,257
ᚠᛠᚱ,FEAR,122
ᛏᚩᚩᚳ,TOOK,86
ᛏᚩᚱᛗᛖᚾᛏᛋ,TORMENTS,356
